Index,Ticker,Name,Currency,EventDate,Dividend,Price
NASDAQ-100,AAPL,Apple Inc.,USD,2024-02-09,0.24,100
NASDAQ-100,AAPL,Apple Inc.,USD,2024-05-10,0.25,100
NASDAQ-100,AAPL,Apple Inc.,USD,2024-08-12,0.25,100
NASDAQ-100,AAPL,Apple Inc.,USD,2024-11-08,0.25,100
NASDAQ-100,ADI,Analog Devices,USD,2024-03-04,0.92,100
NASDAQ-100,ADI,Analog Devices,USD,2024-06-04,0.92,100
NASDAQ-100,ADI,Analog Devices,USD,2024-09-03,0.92,100
NASDAQ-100,ADI,Analog Devices,USD,2024-12-09,0.92,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-03-07,1.4,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-06-14,1.4,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-09-13,1.4,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-12-13,1.54,100
NASDAQ-100,AEP,American Electric Power,USD,2024-02-08,0.88,100
NASDAQ-100,AEP,American Electric Power,USD,2024-05-09,0.88,100
NASDAQ-100,AEP,American Electric Power,USD,2024-08-09,0.88,100
NASDAQ-100,AEP,American Electric Power,USD,2024-11-08,0.93,100
NASDAQ-100,AMAT,Applied Materials,USD,2024-02-21,0.32,100
NASDAQ-100,AMAT,Applied Materials,USD,2024-05-22,0.4,100
NASDAQ-100,AMAT,Applied Materials,USD,2024-08-22,0.4,100
NASDAQ-100,AMAT,Applied Materials,USD,2024-11-21,0.4,100
NASDAQ-100,ASML,ASML Holding,USD,2024-02-05,1.556,100
NASDAQ-100,ASML,ASML Holding,USD,2024-04-26,1.873,100
NASDAQ-100,ASML,ASML Holding,USD,2024-07-29,1.643,100
NASDAQ-100,ASML,ASML Holding,USD,2024-10-29,1.641,100
NASDAQ-100,AVGO,Broadcom,USD,2024-03-20,0.525,100
NASDAQ-100,AVGO,Broadcom,USD,2024-06-24,0.525,100
NASDAQ-100,AVGO,Broadcom,USD,2024-09-19,0.53,100
NASDAQ-100,AVGO,Broadcom,USD,2024-12-23,0.59,100
NASDAQ-100,BKR,Baker Hughes,USD,2024-02-12,0.21,100
NASDAQ-100,BKR,Baker Hughes,USD,2024-05-03,0.21,100
NASDAQ-100,BKR,Baker Hughes,USD,2024-08-06,0.21,100
NASDAQ-100,BKR,Baker Hughes,USD,2024-11-04,0.21,100
NASDAQ-100,CDW,CDW Corporation,USD,2024-02-23,0.62,100
NASDAQ-100,CDW,CDW Corporation,USD,2024-05-23,0.62,100
NASDAQ-100,CDW,CDW Corporation,USD,2024-08-26,0.62,100
NASDAQ-100,CDW,CDW Corporation,USD,2024-11-25,0.625,100
NASDAQ-100,CEG,Constellation Energy,USD,2024-03-07,0.353,100
NASDAQ-100,CEG,Constellation Energy,USD,2024-05-29,0.353,100
NASDAQ-100,CEG,Constellation Energy,USD,2024-08-12,0.353,100
NASDAQ-100,CEG,Constellation Energy,USD,2024-11-15,0.353,100
NASDAQ-100,CMCSA,Comcast,USD,2024-01-02,0.29,100
NASDAQ-100,CMCSA,Comcast,USD,2024-04-02,0.31,100
NASDAQ-100,CMCSA,Comcast,USD,2024-07-03,0.31,100
NASDAQ-100,CMCSA,Comcast,USD,2024-10-02,0.31,100
NASDAQ-100,COST,Costco,USD,2024-02-01,1.02,100
NASDAQ-100,COST,Costco,USD,2024-04-25,1.16,100
NASDAQ-100,COST,Costco,USD,2024-07-26,1.16,100
NASDAQ-100,COST,Costco,USD,2024-11-01,1.16,100
NASDAQ-100,CSCO,Cisco,USD,2024-01-03,0.39,100
