Index,Ticker,Name,Currency,EventDate,Dividend,Priced
NASDAQ-100,TXN,Texas Instruments,USD,2025-07-31,1.36,100
NASDAQ-100,FAST,Fastenal,USD,2025-07-29,0.22,100
NASDAQ-100,GEHC,GE HealthCare,USD,2025-07-25,0.035,100
NASDAQ-100,PAYX,Paychex,USD,2025-07-21,1.08,100
NASDAQ-100,MRVL,Marvell Technology,USD,2025-07-11,0.06,100
NASDAQ-100,INTU,Intuit,USD,2025-07-10,1.04,100
NASDAQ-100,ROP,Roper Technologies,USD,2025-07-08,0.825,100
NASDAQ-100,MU,Micron Technology,USD,2025-07-07,0.115,100
NASDAQ-100,CSCO,Cisco,USD,2025-07-03,0.41,100
NASDAQ-100,CMCSA,Comcast,USD,2025-07-02,0.33,100
NASDAQ-100,MDLZ,Mondelez International,USD,2025-06-30,0.47,100
NASDAQ-100,KDP,Keurig Dr Pepper,USD,2025-06-27,0.23,100
NASDAQ-100,NXPI,NXP Semiconductors,USD,2025-06-25,1.014,100
NASDAQ-100,AVGO,Broadcom,USD,2025-06-20,0.59,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2025-06-13,1.54,100
NASDAQ-100,GILD,Gilead Sciences,USD,2025-06-13,0.79,100
NASDAQ-100,VRSK,Verisk Analytics,USD,2025-06-13,0.45,100
NASDAQ-100,NVDA,Nvidia,USD,2025-06-11,0.01,100
NASDAQ-100,ROST,Ross Stores,USD,2025-06-10,0.405,100
NASDAQ-100,GOOG,Alphabet Inc. (Class C),USD,2025-06-09,0.21,100
NASDAQ-100,GOOGL,Alphabet Inc. (Class A),USD,2025-06-09,0.21,100
NASDAQ-100,PEP,PepsiCo,USD,2025-06-06,1.423,100
NASDAQ-100,QCOM,Qualcomm,USD,2025-06-05,0.89,100
NASDAQ-100,ADI,Analog Devices,USD,2025-06-04,0.99,100
NASDAQ-100,LIN,Linde plc,USD,2025-06-04,1.5,100
NASDAQ-100,ODFL,Old Dominion Freight Line,USD,2025-06-04,0.28,100
NASDAQ-100,CSX,CSX Corporation,USD,2025-05-30,0.13,100
NASDAQ-100,KHC,Kraft Heinz,USD,2025-05-30,0.4,100
NASDAQ-100,TMUS,T-Mobile US,USD,2025-05-30,0.88,100
NASDAQ-100,CDW,CDW Corporation,USD,2025-05-23,0.625,100
NASDAQ-100,MAR,Marriott International,USD,2025-05-23,0.67,100
NASDAQ-100,AMAT,Applied Materials,USD,2025-05-22,0.46,100
NASDAQ-100,MCHP,Microchip Technology,USD,2025-05-22,0.455,100
NASDAQ-100,REGN,Regeneron Pharmaceuticals,USD,2025-05-20,0.88,100
NASDAQ-100,CTSH,Cognizant,USD,2025-05-19,0.31,100
NASDAQ-100,KLAC,KLA Corporation,USD,2025-05-19,1.9,100
NASDAQ-100,CEG,Constellation Energy,USD,2025-05-16,0.388,100
NASDAQ-100,HON,Honeywell,USD,2025-05-16,1.13,100
NASDAQ-100,SBUX,Starbucks,USD,2025-05-16,0.61,100
NASDAQ-100,CTAS,Cintas,USD,2025-05-15,0.39,100
NASDAQ-100,FANG,Diamondback Energy,USD,2025-05-15,1,100
NASDAQ-100,MSFT,Microsoft,USD,2025-05-15,0.83,100
NASDAQ-100,TRI,Thomson Reuters,USD,2025-05-15,0.595,100
NASDAQ-100,PCAR,Paccar,USD,2025-05-14,0.33,100
NASDAQ-100,AAPL,Apple Inc.,USD,2025-05-12,0.26,100
NASDAQ-100,EXC,Exelon,USD,2025-05-12,0.4,100
NASDAQ-100,PAYX,Paychex,USD,2025-05-12,1.08,100
NASDAQ-100,AEP,American Electric Power,USD,2025-05-09,0.93,100
NASDAQ-100,BKR,Baker Hughes,USD,2025-05-06,0.23,100
NASDAQ-100,COST,Costco,USD,2025-05-02,1.3,100
NASDAQ-100,TXN,Texas Instruments,USD,2025-04-30,1.36,100
NASDAQ-100,ASML,ASML Holding,USD,2025-04-28,1.919,100
NASDAQ-100,FAST,Fastenal,USD,2025-04-25,0.44,100
NASDAQ-100,GEHC,GE HealthCare,USD,2025-04-25,0.035,100
NASDAQ-100,MRVL,Marvell Technology,USD,2025-04-11,0.06,100
NASDAQ-100,INTU,Intuit,USD,2025-04-10,1.04,100
NASDAQ-100,ROP,Roper Technologies,USD,2025-04-04,0.825,100
NASDAQ-100,CSCO,Cisco,USD,2025-04-03,0.41,100
NASDAQ-100,CMCSA,Comcast,USD,2025-04-02,0.33,100
NASDAQ-100,MDLZ,Mondelez International,USD,2025-03-31,0.47,100
NASDAQ-100,MU,Micron Technology,USD,2025-03-31,0.115,100
NASDAQ-100,KDP,Keurig Dr Pepper,USD,2025-03-28,0.23,100
NASDAQ-100,AVGO,Broadcom,USD,2025-03-20,0.59,100
NASDAQ-100,NXPI,NXP Semiconductors,USD,2025-03-19,1.014,100
NASDAQ-100,ROST,Ross Stores,USD,2025-03-18,0.405,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2025-03-14,1.54,100
NASDAQ-100,GILD,Gilead Sciences,USD,2025-03-14,0.79,100
NASDAQ-100,VRSK,Verisk Analytics,USD,2025-03-14,0.45,100
NASDAQ-100,LIN,Linde plc,USD,2025-03-13,1.5,100
NASDAQ-100,NVDA,Nvidia,USD,2025-03-12,0.01,100
NASDAQ-100,GOOG,Alphabet Inc. (Class C),USD,2025-03-10,0.2,100
NASDAQ-100,GOOGL,Alphabet Inc. (Class A),USD,2025-03-10,0.2,100
NASDAQ-100,CEG,Constellation Energy,USD,2025-03-07,0.388,100
NASDAQ-100,KHC,Kraft Heinz,USD,2025-03-07,0.4,100
NASDAQ-100,PEP,PepsiCo,USD,2025-03-07,1.355,100
NASDAQ-100,FANG,Diamondback Energy,USD,2025-03-06,1,100
NASDAQ-100,QCOM,Qualcomm,USD,2025-03-06,0.85,100
NASDAQ-100,ODFL,Old Dominion Freight Line,USD,2025-03-05,0.28,100
NASDAQ-100,ADI,Analog Devices,USD,2025-03-04,0.99,100
NASDAQ-100,CSX,CSX Corporation,USD,2025-02-28,0.13,100
NASDAQ-100,HON,Honeywell,USD,2025-02-28,1.13,100
NASDAQ-100,TMUS,T-Mobile US,USD,2025-02-28,0.88,100
NASDAQ-100,MAR,Marriott International,USD,2025-02-27,0.63,100
NASDAQ-100,CDW,CDW Corporation,USD,2025-02-25,0.625,100
NASDAQ-100,EXC,Exelon,USD,2025-02-24,0.4,100
NASDAQ-100,KLAC,KLA Corporation,USD,2025-02-24,1.7,100
NASDAQ-100,MCHP,Microchip Technology,USD,2025-02-24,0.455,100
NASDAQ-100,AMAT,Applied Materials,USD,2025-02-20,0.4,100
NASDAQ-100,MSFT,Microsoft,USD,2025-02-20,0.83,100
NASDAQ-100,REGN,Regeneron Pharmaceuticals,USD,2025-02-20,0.88,100
NASDAQ-100,TRI,Thomson Reuters,USD,2025-02-20,0.595,100
NASDAQ-100,CTSH,Cognizant,USD,2025-02-18,0.31,100
NASDAQ-100,CTAS,Cintas,USD,2025-02-14,0.39,100
NASDAQ-100,SBUX,Starbucks,USD,2025-02-14,0.61,100
NASDAQ-100,PCAR,Paccar,USD,2025-02-12,0.33,100
NASDAQ-100,ASML,ASML Holding,USD,2025-02-11,1.57,100
NASDAQ-100,BKR,Baker Hughes,USD,2025-02-11,0.23,100
NASDAQ-100,AAPL,Apple Inc.,USD,2025-02-10,0.25,100
NASDAQ-100,AEP,American Electric Power,USD,2025-02-10,0.93,100
NASDAQ-100,COST,Costco,USD,2025-02-07,1.16,100
NASDAQ-100,PAYX,Paychex,USD,2025-02-07,0.98,100
NASDAQ-100,TXN,Texas Instruments,USD,2025-01-31,1.36,100
NASDAQ-100,GEHC,GE HealthCare,USD,2025-01-14,0.035,100
NASDAQ-100,INTU,Intuit,USD,2025-01-10,1.04,100
NASDAQ-100,MRVL,Marvell Technology,USD,2025-01-10,0.06,100
NASDAQ-100,CMCSA,Comcast,USD,2025-01-08,0.31,100
NASDAQ-100,CSCO,Cisco,USD,2025-01-03,0.4,100
NASDAQ-100,KDP,Keurig Dr Pepper,USD,2025-01-03,0.23,100
NASDAQ-100,ROP,Roper Technologies,USD,2025-01-03,0.825,100
NASDAQ-100,MDLZ,Mondelez International,USD,2024-12-31,0.47,100
NASDAQ-100,MU,Micron Technology,USD,2024-12-30,0.115,100
NASDAQ-100,AVGO,Broadcom,USD,2024-12-23,0.59,100
NASDAQ-100,PCAR,Paccar,USD,2024-12-20,3,100
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-12-13,1.54,100
NASDAQ-100,GILD,Gilead Sciences,USD,2024-12-13,0.77,100
NASDAQ-100,VRSK,Verisk Analytics,USD,2024-12-13,0.39,100
NASDAQ-100,ROST,Ross Stores,USD,2024-12-10,0.368,100
NASDAQ-100,ADI,Analog Devices,USD,2024-12-09,0.92,100
NASDAQ-100,GOOG,Alphabet Inc. (Class C),USD,2024-12-09,0.2,100
NASDAQ-100,GOOGL,Alphabet Inc. (Class A),USD,2024-12-09,0.2,100
NASDAQ-100,PEP,PepsiCo,USD,2024-12-06,1.355,100
NASDAQ-100,NVDA,Nvidia,USD,2024-12-05,0.01,100
NASDAQ-100,NXPI,NXP Semiconductors,USD,2024-12-05,1.014,100
NASDAQ-100,QCOM,Qualcomm,USD,2024-12-05,0.85,100
NASDAQ-100,ODFL,Old Dominion Freight Line,USD,2024-12-04,0.26,100
NASDAQ-100,LIN,Linde plc,USD,2024-12-03,1.39,100
NASDAQ-100,CSX,CSX Corporation,USD,2024-11-29,0.12,100
NASDAQ-100,KHC,Kraft Heinz,USD,2024-11-29,0.4,100
NASDAQ-100,TMUS,T-Mobile US,USD,2024-11-27,0.88,100
NASDAQ-100,CDW,CDW Corporation,USD,2024-11-25,0.625,100
NASDAQ-100,MCHP,Microchip Technology,USD,2024-11-22,0.455,100
NASDAQ-100,AMAT,Applied Materials,USD,2024-11-21,0.4,100
NASDAQ-100,MAR,Marriott International,USD,2024-11-21,0.63,100
NASDAQ-100,MSFT,Microsoft,USD,2024-11-21,0.83,100
NASDAQ-100,TRI,Thomson Reuters,USD,2024-11-21,0.54,100
NASDAQ-100,CTSH,Cognizant,USD,2024-11-19,0.3,100
NASDAQ-100,KLAC,KLA Corporation,USD,2024-11-18,1.7,100
NASDAQ-100,CEG,Constellation Energy,USD,2024-11-15,0.353,100
NASDAQ-100,CTAS,Cintas,USD,2024-11-15,0.39,100
NASDAQ-100,HON,Honeywell,USD,2024-11-15,1.13,100
NASDAQ-100,SBUX,Starbucks,USD,2024-11-15,0.61,100
NASDAQ-100,FANG,Diamondback Energy,USD,2024-11-14,0.9,100
NASDAQ-100,PCAR,Paccar,USD,2024-11-13,0.3,100
NASDAQ-100,AAPL,Apple Inc.,USD,2024-11-08,0.25,100
NASDAQ-100,AEP,American Electric Power,USD,2024-11-08,0.93,100
NASDAQ-100,EXC,Exelon,USD,2024-11-08,0.38,100
NASDAQ-100,PAYX,Paychex,USD,2024-11-07,0.98,100
NASDAQ-100,BKR,Baker Hughes,USD,2024-11-04,0.21,100
NASDAQ-100,COST,Costco,USD,2024-11-01,1.16,100
NASDAQ-100,TXN,Texas Instruments,USD,2024-10-31,1.36,100
NASDAQ-100,ASML,ASML Holding,USD,2024-10-29,1.641,100
NASDAQ-100,FAST,Fastenal,USD,2024-10-25,0.39,100
NASDAQ-100,GEHC,GE HealthCare,USD,2024-10-18,0.03,100
NASDAQ-100,MRVL,Marvell Technology,USD,2024-10-11,0.06,100
NASDAQ-100,INTU,Intuit,USD,2024-10-10,1.04,100
NASDAQ-100,ROP,Roper Technologies,USD,2024-10-08,0.75,100
NASDAQ-100,MU,Micron Technology,USD,2024-10-07,0.115,100
NASDAQ-100,CMCSA,Comcast,USD,2024-10-02,0.31,100
NASDAQ-100,CSCO,Cisco,USD,2024-10-02,0.4,100
NASDAQ-100,MDLZ,Mondelez International,USD,2024-09-30,0.47,100
NASDAQ-100,KDP,Keurig Dr Pepper,USD,2024-09-27,0.23,100
NASDAQ-100,AVGO,Broadcom,USD,2024-09-19,0.53,100
