Index,Ticker,Name,Currency,EventDate,Dividend,Priced
S&P 500,AOS,A. O. Smith,USD,2025-07-31,0.34,100
S&P 500,CFG,Citizens Financial Group,USD,2025-07-31,0.42,100
S&P 500,DAL,Delta Air Lines,USD,2025-07-31,0.188,100
S&P 500,KMI,Kinder Morgan,USD,2025-07-31,0.293,100
S&P 500,LNT,Alliant Energy,USD,2025-07-31,0.507,100
S&P 500,MS,Morgan Stanley,USD,2025-07-31,1,100
S&P 500,NI,NiSource,USD,2025-07-31,0.28,100
S&P 500,TRGP,Targa Resources,USD,2025-07-31,1,100
S&P 500,TXN,Texas Instruments,USD,2025-07-31,1.36,100
S&P 500,VLO,Valero Energy,USD,2025-07-31,1.13,100
S&P 500,CAG,Conagra Brands,USD,2025-07-30,0.35,100
S&P 500,WST,West Pharmaceutical Services,USD,2025-07-30,0.21,100
S&P 500,FAST,Fastenal,USD,2025-07-29,0.22,100
S&P 500,BK,BNY Mellon,USD,2025-07-25,0.53,100
S&P 500,GEHC,GE HealthCare,USD,2025-07-25,0.035,100
S&P 500,PFE,Pfizer,USD,2025-07-25,0.43,100
S&P 500,MMC,Marsh McLennan,USD,2025-07-24,0.9,100
S&P 500,APA,APA Corporation,USD,2025-07-22,0.25,100
S&P 500,CVS,CVS Health,USD,2025-07-22,0.665,100
S&P 500,DELL,Dell Technologies,USD,2025-07-22,0.525,100
S&P 500,CARR,Carrier Global,USD,2025-07-21,0.225,100
S&P 500,CAT,Caterpillar Inc.,USD,2025-07-21,1.51,100
S&P 500,GEV,GE Vernova,USD,2025-07-21,0.25,100
S&P 500,PAYX,Paychex,USD,2025-07-21,1.08,100
S&P 500,CL,Colgate-Palmolive,USD,2025-07-18,0.52,100
S&P 500,DOC,Healthpeak Properties,USD,2025-07-18,0.102,100
S&P 500,PG,Procter & Gamble,USD,2025-07-18,1.057,100
S&P 500,RVTY,Revvity,USD,2025-07-18,0.07,100
S&P 500,WSM,"Williams-Sonoma, Inc.",USD,2025-07-18,0.66,100
S&P 500,ZTS,Zoetis,USD,2025-07-18,0.5,100
S&P 500,EOG,EOG Resources,USD,2025-07-17,0.975,100
S&P 500,ABT,Abbott Laboratories,USD,2025-07-15,0.59,100
S&P 500,FCX,Freeport-McMoRan,USD,2025-07-15,0.15,100
S&P 500,MAA,Mid-America Apartment Communities,USD,2025-07-15,1.515,100
S&P 500,PNC,PNC Financial Services,USD,2025-07-15,1.7,100
S&P 500,HRL,Hormel Foods,USD,2025-07-14,0.29,100
S&P 500,IEX,IDEX Corporation,USD,2025-07-11,0.71,100
S&P 500,ACN,Accenture,USD,2025-07-10,1.48,100
S&P 500,DRI,Darden Restaurants,USD,2025-07-10,1.5,100
S&P 500,GIS,General Mills,USD,2025-07-10,0.61,100
S&P 500,INTU,Intuit,USD,2025-07-10,1.04,100
S&P 500,ORCL,Oracle Corporation,USD,2025-07-10,0.5,100
S&P 500,T,AT&T,USD,2025-07-10,0.278,100
S&P 500,UDR,"UDR, Inc.",USD,2025-07-10,0.43,100
S&P 500,VZ,Verizon,USD,2025-07-10,0.678,100
